,year,best actress,age actress,best actor,age actor,best movie,box office
0,2000,julia roberts,33,Russel Crowe,36,Gladiator,503
1,2001,halle berry,35,Denzel Washington,44,A Beautiful Mind,316
2,2000,nicole kidman,35,Adrien Brody,29,Chicago,306
3,2003,charlize theron,28,Sean Penn,43,The Lord of the Rings: the Return of the King,1147
4,2004,hilary swank,30,Jamie Foxx,37,Million Dollar Baby,216
5,2005,reese witherspoon,29,Phillip Seymour Hoffman,38,Crash,98
6,2006,hellen mirren,61,Forest Whitaker,45,The Departed,291
7,2007,marion cotillard,32,Daniel Day Lewis,50,No Country for Old Men,171
8,2008,kate winslet,33,Sean Penn,48,Slumdog Millionaire,378
9,2009,sandra bullock,45,Jeff Bridges,60,The Hurt Locker,49
10,2010,natalie portman,29,Colin Firth,50,The Kings Speech,427
11,2011,meryl streep,63,Jean Dujardin,39,The Artist,133
12,2012,jennifer lawrence,22,Daniel Day Lewis,56,Argo,232
13,2013,cate blanchett,44,Matthew McConaughey,44,12 years a slave,187
14,2014,julianne mooore,54,Eddie Redmayne,32,Birdman,103
15,2015,brie larson,26,Leonardo DiCaprio,41,Spotlight,98
16,2016,emma stone,28,Casey Affleck,41,Moonlight,65
17,2017,frances mcdormand,60,Gary Oldman,59,The Shape of Water,193
18,2018,olivia colman,44,Rami Malek,37,Green Book,321
19,2019,rene zellweger,50,Joaquin Phoenix,45,Parasite,262
20,2020,frances mcdormand,63,Anthony Hopkins,83,Nomadland,39
21,2021,jessica chastain,44,Will Smith,53,CODA,2
22,2022,michelle yeoh,60,Brendan Fraser,54,Everything Everywhere All at Once,131
